POINTID,MDE,ASPECTB,HARB,PMA,TMEDPROM,EVI
3641,2225,1.6668,26,899,17.49,0.636595
3642,2219,1.9952,24,899,17.5,0.506862
3643,2203,1,25,899,17.5,0.57718
3644,2226,1.6549,20,899,17.42,0.458191
3645,2233,1.8209,18,899,17.45,0.404548
3646,2211,1.7507,29,899,17.45,0.493448
3647,2239,1.2152,27,899,17.43,0.455129
3648,2226,1.4762,27,899,17.4,0.415802
3649,2250,1.9202,16,899,17.39,0.386773
3650,2203,1.5547,22,898,17.44,0.557552
3651,2202,1.9658,19,896,17.52,0.414369
3652,2187,1.9487,17,895,17.56,0.448753
3653,2165,1.7071,11,894,17.6,0.307881
3654,2130,1.901,13,893,17.69,0.364264
3655,2115,1.8169,17,892,17.8,0.40534
3656,2108,1.6616,13,891,17.87,0.408601
3657,2091,1.6586,10,889,17.91,0.310269
3658,2061,1.8437,11,889,17.94,0.358333
3659,2061,1.788,8,889,17.89,0.310866
3660,2080,0.2677,24,890,17.83,0.392096
3661,2117,1.037,19,889,17.81,0.323381
3662,2111,0.2929,19,890,17.8,0.35202
3663,2073,1.7974,20,889,17.85,0.473085
3664,2087,0.7984,22,889,17.83,0.348614
3665,2101,1.2982,21,889,17.83,0.637272
3666,2118,0.8039,17,887,17.88,0.316651
3668,1989,1.935,11,878,18.38,0.292065
3678,1709,1.9788,12,863,19.27,0.283376
3679,1674,1.19,14,862,19.31,0.278814
3680,1703,1.5292,19,863,19.24,0.286759
3681,1722,0.4385,14,866,19.04,0.274663
3686,1879,1.8178,16,870,18.75,0.253736
3742,2021,1,20,895,18.21,0.479597
3744,2034,1.0454,21,895,18.16,0.551854
3745,2052,1.4741,25,894,18.14,0.483893
3746,2048,1.9261,26,894,18.11,0.437096
3747,2041,1.1812,21,894,18.08,0.386265
3748,2053,0.8896,26,894,18.05,0.484352
3749,2059,0.2929,24,894,18.03,0.48644
3750,2074,0.8479,21,894,18,0.437323
3751,2072,1.8609,26,894,18.02,0.489955
3752,2064,1.8683,15,894,18.07,0.45123
3753,2061,1.9976,18,891,18.12,0.397596
3754,2029,1.9997,22,890,18.15,0.354448
3755,2031,1.8137,18,890,18.15,0.366821
3756,2032,0.4233,22,890,18.12,0.415793
3757,2060,0.8294,21,893,17.98,0.441876
3758,2121,0.4095,19,894,17.84,0.403362
3759,2153,1.0847,18,899,17.67,0.405434
3760,2185,0.3113,21,901,17.55,0.519912
3761,2207,0.2475,21,902,17.5,0.451655
3762,2227,0.5973,17,902,17.48,0.334588
3763,2238,1.2426,20,902,17.44,0.374878
3764,2227,1.9968,21,902,17.44,0.487366
3765,2229,0.9677,18,902,17.44,0.432029
3766,2236,1.7682,22,901,17.42,0.509711
3767,2205,1.6476,28,900,17.5,0.620821
3768,2216,1.2248,26,899,17.53,0.495227
3769,2233,1.421,28,899,17.5,0.539992
3770,2253,0.9304,24,902,17.42,0.532244
3771,2249,1.9558,21,902,17.39,0.516718
3772,2237,1.9818,24,901,17.39,0.603687
3773,2241,0.8157,28,901,17.38,0.657201
3774,2249,1.9959,21,900,17.39,0.541963
3775,2251,1.4379,21,899,17.4,0.496262
3776,2250,1.8555,21,900,17.35,0.68117
3777,2258,1.0384,20,901,17.32,0.492286
3778,2268,1.3846,29,901,17.28,0.457237
3779,2290,1.7459,24,901,17.24,0.456747
3780,2273,1.3161,28,901,17.23,0.466291
3781,2270,1.9208,20,900,17.25,0.447927
3782,2258,1.6493,21,899,17.32,0.406895
3783,2238,1.9991,21,898,17.39,0.507038
3784,2207,1.9701,14,897,17.47,0.403935
3785,2171,1.9564,22,895,17.54,0.396095
3786,2154,1.9029,18,894,17.61,0.533634
3787,2124,1.8905,19,893,17.72,0.40677
3788,2114,1.578,17,891,17.81,0.39566
3789,2089,1.9923,16,890,17.85,0.370077
3790,2082,1.8944,18,889,17.87,0.42759
3791,2098,1.8575,11,889,17.85,0.411498
3792,2114,1.0422,25,890,17.8,0.49817
3793,2139,1.9912,15,891,17.77,0.51636
3794,2116,1.9995,19,889,17.8,0.50089
3795,2103,1.9806,21,889,17.81,0.576518
3796,2105,0.3612,24,890,17.77,0.268042
3797,2157,1.5144,21,890,17.73,0.617639
3798,2137,1.8074,15,890,17.76,0.492354
3799,2095,1.9632,17,887,17.92,0.422576
3800,2042,1.9887,16,882,18.2,0.364544
3801,1938,1.9997,20,878,18.39,0.371073
3802,1931,1.741,15,876,18.46,0.303104
3803,1920,1,15,877,18.44,0.29443
3805,1890,1.6896,12,873,18.61,0.293564
3812,1711,0.2437,15,864,19.18,0.271897
3816,1977,1.5547,15,876,18.36,0.289043
3817,1964,2,10,875,18.42,0.282151
3876,2037,0.1563,25,895,18.15,0.464296
3877,2050,0.2238,24,895,18.11,0.49226
3878,2064,1.2426,23,895,18.07,0.47714
3879,2063,1.5813,20,895,18.03,0.450299
3880,2065,1.6179,25,895,18.01,0.464585
3881,2084,1.5931,25,895,17.98,0.480322
3882,2095,1.0767,22,894,17.96,0.483533
3883,2095,1.7593,23,894,17.97,0.46954
3884,2097,0.9566,17,894,18.02,0.410105
3885,2086,1.7475,19,894,18.05,0.410877
3886,2050,1.8858,22,892,18.07,0.410476
3887,2043,1.2334,16,890,18.09,0.359108
3888,2054,1.4722,20,891,18.06,0.326831
3889,2070,0.8262,21,893,17.97,0.473921
3890,2123,0.1913,21,894,17.84,0.418425
3891,2180,0.5259,18,898,17.71,0.423355
3892,2207,0.9203,18,901,17.54,0.467635
3893,2217,0.7643,23,902,17.47,0.472606
3894,2236,0.8262,21,902,17.44,0.487587
3895,2246,0.1563,24,902,17.42,0.48707
3896,2256,0.8896,20,902,17.4,0.41323
3897,2255,1.9231,16,902,17.39,0.372139
3898,2237,1.7283,21,902,17.38,0.478675
3899,2236,1.3242,25,900,17.45,0.501298
3900,2257,1.74,21,901,17.43,0.520136
3901,2281,0.744,21,902,17.38,0.337366
3902,2286,1.7071,21,902,17.33,0.389331
3903,2270,1.9975,21,902,17.31,0.538044
3904,2259,1.9947,23,902,17.32,0.695644
3905,2246,1.7071,22,902,17.31,0.3908
3906,2260,0.5973,25,902,17.3,0.490719
3907,2274,0.7088,17,902,17.28,0.534211
3908,2275,1.6247,23,902,17.24,0.562869
3909,2265,1.9718,22,903,17.21,0.490764
3910,2294,0.3753,29,903,17.17,0.463979
3911,2329,1.5225,27,903,17.09,0.498042
3912,2321,1.0786,27,903,17.07,0.430348
3913,2304,1.9363,33,903,17.12,0.475119
3914,2299,1.9815,28,900,17.2,0.485107
3915,2256,1.899,24,899,17.25,0.541547
3916,2232,1.9418,24,899,17.35,0.561613
3917,2207,1.421,19,897,17.48,0.405645
3918,2164,1.9983,21,894,17.57,0.545349
3919,2154,1.9691,20,894,17.65,0.4624
3920,2117,1.8533,20,892,17.77,0.480518
3921,2114,1.741,26,890,17.82,0.615431
3922,2123,1.5964,18,890,17.8,0.413721
3923,2110,0.6839,25,889,17.8,0.485985
3924,2154,0.5752,18,890,17.77,0.317293
3925,2165,1.9683,9,891,17.73,0.313837
3926,2149,1.9002,22,891,17.72,0.620742
3927,2108,1.396,16,890,17.72,0.285978
3928,2128,0.3612,19,890,17.7,0.255204
3929,2166,0.1563,19,891,17.67,0.558025
3930,2177,0.8039,17,890,17.69,0.606199
3931,2163,1.5944,20,889,17.75,0.655301
3932,2121,1.9999,15,885,17.94,0.37784
3933,2039,1.6327,23,882,18.11,0.384537
3934,2029,1.8306,19,881,18.21,0.310495
3935,1989,1.9906,14,879,18.31,0.288933
3936,1971,1.9668,10,877,18.37,0.288317
3937,1935,1.9701,8,875,18.5,0.307756
3950,1949,1.8882,8,873,18.45,0.288926
4002,2010,1.8283,12,895,18.22,0.379274
4007,2019,0.3598,15,895,18.18,0.596829
4008,2030,0.7424,23,895,18.15,0.455457
4009,2049,0.0136,21,895,18.11,0.490141
4010,2063,0.1497,20,895,18.06,0.516424
4011,2070,0.229,21,895,18.01,0.459022
4012,2090,0.4453,19,895,17.98,0.405478
4013,2097,1.4961,9,895,17.95,0.305854
4014,2110,0.5863,7,895,17.91,0.35685
4015,2108,1.9839,17,894,17.91,0.318427
4016,2099,1.7682,16,894,17.95,0.339776
4017,2081,1.1915,18,894,17.99,0.406015
4018,2049,1.7943,25,893,18.01,0.638617
4019,2086,1.0779,27,891,18.02,0.416988
4020,2108,1.5944,18,891,18.02,0.448357
4021,2114,1.7756,19,893,17.93,0.351672
4022,2127,0.9376,26,894,17.84,0.40189
4023,2168,0.2525,19,898,17.72,0.318514
4024,2182,0.0252,18,900,17.58,0.362513
4025,2204,0.0282,17,902,17.47,0.354627
4026,2221,0.0027,11,902,17.42,0.413187
4027,2238,0.2443,23,902,17.4,0.453548
4028,2237,0.5527,23,902,17.39,0.48972
4029,2237,0.2033,21,902,17.38,0.437701
4030,2250,0.3708,15,903,17.35,0.394726
4031,2243,0.1807,16,903,17.32,0.368923
